"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An AI-Based Heart Failure Treatment Adviser System","Z. Chen; E. Salazar; K. Marple; S. R. Das; A. Amin; D. Cheeran; L. S. Tamil; G. Gupta","Computer Science Department, The University of Texas at Dallas, Richardson, TX, USA; Computer Science Department, The University of Texas at Dallas, Richardson, TX, USA; Walmart Technology, Plano, TX, USA; Cardiology Division, University of Texas Southwestern Medical Center, Dallas, TX, USA; Cardiology Division, University of Texas Southwestern Medical Center, Dallas, TX, USA; Cardiology Division, University of Texas Southwestern Medical Center, Dallas, TX, USA; Electrical Engineering Department, The University of Texas at Dallas, Richardson, TX, USA; Computer Science Department, The University of Texas at Dallas, Richardson, TX, USA","IEEE Journal of Translational Engineering in Health and Medicine","4 Dec 2018","2018","6","","1","10","Management of heart failure is a major health care challenge. Healthcare providers are expected to use best practices described in clinical practice guidelines, which typically consist of a long series of complex rules. For heart failure management, the relevant guidelines are nearly 80 pages long. Due to their complexity, the guidelines are often difficult to fully comply with, which can result in suboptimal medical practices. In this paper, we describe a heart failure treatment adviser system that automates the entire set of rules in the guidelines for heart failure management. The system is based on answer set programming, a form of declarative programming suited for simulating human-style reasoning. Given a patient's information, the system is able to generate a set of guideline-compliant recommendations. We conducted a pilot study of the system on 21 real and 10 simulated patients with heart failure. The results show that the system can give treatment recommendations compliant with the guidelines. Out of 187 total recommendations made by the system, 176 were agreed upon by the expert cardiologists. Also, the system missed eight valid recommendations. The reason for the missed and discordant recommendations seems to be insufficient information, differing style, experience, and knowledge of experts in decision-making that were not captured in the system at this time. The system can serve as a point-of-care tool for clinics. Also, it can be used as an educational tool for training physicians and an assessment tool to measure the quality metrics of heart failure care of an institution.","2168-2372","","10.1109/JTEHM.2018.2883069","National Science Foundation(grant numbers:1718945); Texas Medical Research Collaborative; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543643","Automated reasoning;knowledge representation;guideline automation;heart failure management","Heart;Guidelines;Diseases;Cognition;Programming;Medical treatment","","38","","20","OAPA","23 Nov 2018","","","IEEE","IEEE Journals"
"Robust AI-enabled Simulation of Treatment Paths with Markov Decision Process for Breast Cancer Patients","S. S. Hossain; M. R. Ebrahimi; B. Padmanabhan; I. El Naqa; P. C. Kuo; A. Beard; S. Merkel","Muma College of Business, University of South Florida, Tampa, USA; Muma College of Business (Star-AI Lab), University of South Florida, Tampa, USA; Muma College of Business, University of South Florida, Tampa, USA; Chair of Machine Learning, H. Lee Moffitt Cancer Center and Research Institute, Tampa, USA; Dept. of Surgery, Morsani College of Medicine, Tampa; Dept. of Surgery, Morsani College of Medicine, Tampa; Resident Physician, Morsani College of Medicine, Tampa, USA","2023 IEEE Conference on Artificial Intelligence (CAI)","2 Aug 2023","2023","","","105","108","Development in AI/ML-based methodologies has facilitated improvement in clinical decision making at various stages of treatment in breast cancer care. While this addresses patient needs at specific stages of treatment, the overall treatment path of a patient from a holistic standpoint has remained understudied due to challenges in accessing the relevant data. In this study, we propose to develop an AI-enabled treatment path simulation for breast cancer patients while characterizing the treatment paths as a Markov decision process (MDP). In order to avoid the limitations of healthcare records, which are often incomplete and subject to misinformation, we have leveraged clinical practice guidelines and expertise from physicians at Moffitt Cancer Center to develop the MDP. Our study of developing such an MDP, leveraging domain knowledge, contributes to improving research on treatment path simulation for breast cancer patients.","","979-8-3503-3984-0","10.1109/CAI54212.2023.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10195029","Breast cancer;Markov decision process;NCCN guidelines;Reinforcement Learning","Decision making;Medical services;Learning (artificial intelligence);Markov processes;Breast cancer;Fake news;Guidelines","","","","23","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
"Challenges in Machine Learning Application Development: An Industrial Experience Report","M. S. Rahman; F. Khomh; E. Rivera; Y. -G. Guéhéneuc; B. Lehnert","Polytechnique Montreal, Canada; Polytechnique Montreal, Canada; Polytechnique Montreal, Canada; Concordia University, Canada; SAP Montreal, Canada","2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI)","30 Jun 2022","2022","","","21","28","SAP is the market leader in enterprise application software offering an end-to-end suite of applications and services to enable their customers worldwide to operate their business. Especially, retail customers of SAP deal with millions of sales transactions for their day-to-day business. Transactions are created during retail sales at the point of sale (POS) terminals and those transactions are then sent to some central servers for validations and other business operations. A considerable proportion of the retail transactions may have inconsistencies or anomalies due to many technical and human errors. SAP provides an automated process for error detection but still requires a manual process by dedicated employees using workbench software for correction. However, manual corrections of these errors are time-consuming, labor-intensive, and might be prone to further errors due to incorrect modifications. Thus, automated detection and correction of transaction errors are very important regarding their potential business values and the improvement in the business workflow. In this paper, we report on our experience from a project where we develop an AI-based system to automatically detect transaction errors and propose corrections. We identify and discuss the challenges that we faced during this collaborative research and development project, from two distinct perspectives: Software Engineering and Machine Learning. We report on our experience and insights from the project with guidelines for the identified challenges. We collect developers’ feedback for qualitative analysis of our findings. We believe that our findings and recommendations can help other researchers and practitioners embarking into similar endeavours. CCS CONCEPTS • Software and its engineering → Programming teams.","","978-1-4503-9319-5","10.1145/3526073.3527593","Mitacs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9808693","Software Engineering for Machine Learning;Error Detection and Correction;Challenges and Best Practices","Conferences;Collaboration;Machine learning;Manuals;Programming;Servers;Research and development","","","","30","","30 Jun 2022","","","IEEE","IEEE Conferences"
"Characterizing Technical Debt and Antipatterns in AI-Based Systems: A Systematic Mapping Study","J. Bogner; R. Verdecchia; I. Gerostathopoulos","University of Stuttgart, Institute of Software Engineering, Stuttgart, Germany; Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands","2021 IEEE/ACM International Conference on Technical Debt (TechDebt)","25 Jun 2021","2021","","","64","73","Background: With the rising popularity of Artificial Intelligence (AI), there is a growing need to build large and complex AI-based systems in a cost-effective and manageable way. Like with traditional software, Technical Debt (TD) will emerge naturally over time in these systems, therefore leading to challenges and risks if not managed appropriately. The influence of data science and the stochastic nature of AI-based systems may also lead to new types of TD or antipatterns, which are not yet fully understood by researchers and practitioners. Objective: The goal of our study is to provide a clear overview and characterization of the types of TD (both established and new ones) that appear in AI-based systems, as well as the antipatterns and related solutions that have been proposed. Method: Following the process of a systematic mapping study, 21 primary studies are identified and analyzed. Results: Our results show that (i) established TD types, variations of them, and four new TD types (data, model, configuration, and ethics debt) are present in AI-based systems, (ii) 72 antipatterns are discussed in the literature, the majority related to data and model deficiencies, and (iii) 46 solutions have been proposed, either to address specific TD types, antipatterns, or TD in general. Conclusions: Our results can support AI professionals with reasoning about and communicating aspects of TD present in their systems. Additionally, they can serve as a foundation for future research to further our understanding of TD in AI-based systems.","","978-1-6654-1405-0","10.1109/TechDebt52882.2021.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463054","Artificial Intelligence;Machine Learning;Technical Debt;Antipatterns;Systematic Mapping Study","Ethics;Systematics;Pipelines;Stochastic processes;Tools;Data models;Software","","16","","56","IEEE","25 Jun 2021","","","IEEE","IEEE Conferences"
"Advancing Trustworthy Knowledge Engineering through User-Centered AI-based Systems: A Systematic Review","A. Rossner; R. Dörner; S. Pagel","Mainz University of Applied Sciences, Mainz, Germany; RheinMain University of Applied Sciences, Wiesbaden, Germany; Mainz University of Applied Sciences, Mainz, Germany","2023 IEEE Sixth International Conference on Artificial Intelligence and Knowledge Engineering (AIKE)","8 Jan 2024","2023","","","66","70","This document is a model and instructions for LATEX. This and the IEEEtran.cls file define the components of your paper [title, text, heads, etc.]. *CRITICAL: Do Not Use Symbols, Special Characters, Footnotes, or Math in Paper Title or Abstract.","2831-7203","979-8-3503-3128-8","10.1109/AIKE59827.2023.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10381541","Knowledge Engineering;Trustworthy AI;User-Centred Artificial Intelligence;Human-AI Interaction","Knowledge engineering;Systematics;Symbols","","","","28","IEEE","8 Jan 2024","","","IEEE","IEEE Conferences"
"Designing User-friendly Medical AI Applications - Methodical Development of User-centered Design Guidelines","L. Wiebelitz; P. Schmid; T. Maier; M. Volkwein","Corporate Strategy and Development, Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, Germany; Institute for Engineering Design and Industrial Design, University of Stuttgart, Stuttgart, Germany; Institute for Engineering Design and Industrial Design, University of Stuttgart, Stuttgart, Germany; Corporate Strategy and Development, Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, Germany","2022 IEEE International Conference on Digital Health (ICDH)","24 Aug 2022","2022","","","23","28","Medical artificial intelligence (AI) applications will become increasingly relevant in the future and change the medical technology market. Areas of application are located in the professional as well as in private use. The human-machine interface (HMI) is crucial for a successful use of these AI technologies and for a high user added value. The factors of user experience, usability and joy of use significantly determine the quality of an HMI, but are still insufficiently researched for medical AI applications. This work addresses this gap and provides generally applicable design guidelines to AI-based mobile medical applications. For this purpose, a user-centered requirements analysis was conducted to evaluate possible HMI concepts for a fictitious medical AI application. Based on these findings, specific design guidelines for the HMI of the fictitious application were established. Finally, a universal design catalog for medical AI applications was developed.","","978-1-6654-8149-6","10.1109/ICDH55609.2022.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9861079","medical AI;IEC 62366;AI design guidelines;user-centered design;human-AI interaction;AI usability factor","Industries;Biomedical equipment;User centered design;User experience;Mobile handsets;Electronic healthcare;Artificial intelligence","","1","","25","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"Data Smells: Categories, Causes and Consequences, and Detection of Suspicious Data in AI-based Systems","H. Foidl; M. Felderer; R. Ramler","University of Innsbruck, Austria; University of Innsbruck, Austria; Software Competence Center Hagenberg GmbH, Austria","2022 IEEE/ACM 1st International Conference on AI Engineering – Software Engineering for AI (CAIN)","17 Jun 2022","2022","","","229","239","High data quality is fundamental for today’s AI-based systems. However, although data quality has been an object of research for decades, there is a clear lack of research on potential data quality issues (e.g., ambiguous, extraneous values). These kinds of issues are latent in nature and thus often not obvious. Nevertheless, they can be associated with an increased risk of future problems in AI-based systems (e.g., technical debt, data-induced faults). As a counterpart to code smells in software engineering, we refer to such issues as Data Smells. This article conceptualizes data smells and elaborates on their causes, consequences, detection, and use in the context of AI-based systems. In addition, a catalogue of 36 data smells divided into three categories (i.e., Believability Smells, Understandability Smells, Consistency Smells) is presented. Moreover, the article outlines tool support for detecting data smells and presents the result of an initial smell detection on more than 240 real-world datasets.","","978-1-4503-9275-4","10.1145/3522664.3528590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796422","data smells;artificial intelligence;data engineering;software engineering;data quality","Industries;Codes;Data integrity;Maintenance engineering;Solids;Oncology;Software","","2","","63","","17 Jun 2022","","","IEEE","IEEE Conferences"
"Designing Cybersecurity AI Based Awareness Games for Citizens: Best Practices and Future Directions","S. Chennamaneni; P. Pradhan; V. Chebolu; M. Vejendla; S. K. Kannaiah; S. S. Aravinth","Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India","2023 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS)","25 Apr 2023","2023","","","407","412","Cybercrimes are a hazard to both people and businesses. Knowing the best techniques for cyber security is essential for defending against these threats. Despite their ability to be useful, conventional learning techniques like reading articles or attending seminars lack interest. Because of this, employing serious games for education is growing in popularity. Serious games give players an involved learning experience while educating them on a subject, like cyber security. In order to give players a useful understanding to defend themselves, this study investigates the best approaches for embedding cyber security education into serious games. Learning about cyber security is made enjoyable and more relevant by using a game-based methodology. In order to evaluate how game design aspects might be utilized to effectively instruct players on cyber security, the paper examines a variety of game design elements, including game mechanics, narrative, and feedback mechanisms. Additionally, it goes into how different players, such as novice and experienced players, might be catered to in serious games. In general, playing serious games is a fun and effective approach to educate yourself about cyber security. Designers and teachers can produce games that are both enjoyable and instructional by adhering to the quality standards described in this paper.","","978-1-6654-9199-0","10.1109/ICSCDS56580.2023.10104800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10104800","Cybercrimes;Cyber security;Conventional learning techniques;Serious games;Education;Game-based methodology;Game design elements;Game mechanics;Narrative;Feedback mechanisms;Novice players;Experienced players;Fun;Effective;Designers;Teachers;Quality standards","Seminars;Education;Information security;Games;Reinforcement learning;Hazards;Serious games","","8","","18","IEEE","25 Apr 2023","","","IEEE","IEEE Conferences"
"AI-based Research and Application of Fault Diagnosis for Steam Turbine Regenerative System","X. Jiang","State Grid Jibei Electric Power Company Limited Skills Training Center, Baoding Electric Power VOC & TECH. College, Baoding, China","2020 International Conference on Information Science, Parallel and Distributed Systems (ISPDS)","18 Nov 2020","2020","","","333","335","As the key equipment of electric power plant, the safe operation of steam turbine plays a vital role in practical production. At the same time, the normal and stable operation of excitation system, water-oxygen cooling system, regenerative system and other set system also play a decisive role in the safe operation of the unit. Fault diagnosis in the past mainly relied on the domain experts to judge the type of fault based on its experience, which has too much limitation, it is difficult to make effective diagnosis for the unconspicuous fault. The paper analyzed the common failures of the steam turbine regenerative system and established a typical fault set of the regenerative system. On the basis of using the fuzzy rules to establish knowledge base of fault symptom of regenerative system, a fault diagnosis method of regenerative system based on support vector machine multi-classification algorithm was proposed. Finally, the method was applied to the fault diagnosis of the regenerative system of a steam turbine. The experimental results showed that the model could effectively identify the fault of the regenerative system.","","978-1-7281-9668-8","10.1109/ISPDS51347.2020.00077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9258563","Regeneration system;fuzzy rules;support vector machine;multi-classification algorithm;fault diagnosis","Fault diagnosis;Training;Support vector machines;Knowledge based systems;Information science;5G mobile communication","","","","4","IEEE","18 Nov 2020","","","IEEE","IEEE Conferences"
"Reducing Bias in AI-Based Analysis of Visual Artworks","Z. Zhang; J. Li; D. G. Stork; E. Mansfield; J. Russell; C. Adams; J. Z. Wang","The Pennsylvania State University, University Park, PA, USA; The Pennsylvania State University, University Park, PA, USA; NA; The Pennsylvania State University, University Park, PA, USA; The Pennsylvania State University, University Park, PA, USA; The Pennsylvania State University, University Park, PA, USA; The Pennsylvania State University, University Park, PA, USA","IEEE BITS the Information Theory Magazine","9 Dec 2022","2022","2","1","36","48","Empirical research in science and the humanities is vulnerable to bias which, by definition, implies incorrect or misleading findings. Artificial intelligence-based analysis of visual artworks is vulnerable to bias in ways specific to the domain. Works of art belong to a distinct cultural category that often prioritizes such characteristics as hand-craftsmanship, uniqueness, originality, and imaginative content; works of art are also responsive to diverse social and cultural contexts. Ascertaining which features of an artwork can be rightly ascribed to an objective “truth,” without which the concept of bias is not even relevant, is itself challenging. Incorporating expert knowledge into machine learning applications can help reduce bias in final estimates. We review several sources of bias that can occur across different stages of AI-based analysis, protocols, and best practices for reducing bias, and approaches to measuring these biases. This systematic investigation of various types of bias can help researchers better understand bias, become aware of practical solutions, and ultimately cultivate the prudent adoption of AI-based approaches to artwork analysis.","2692-4110","","10.1109/MBITS.2022.3197102","National Endowment for the Humanities(grant numbers:HAA-271801-20); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851932","","Painting;Art;Image color analysis;Cultural differences;Feature extraction;Visualization;Imaging;Machine learning;Best practices;Systematics","","3","","43","IEEE","8 Aug 2022","","","IEEE","IEEE Magazines"
