"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","EID"
"Dakheel A.O.; Singh Y.","Dakheel, Ahmed Obaid (58879348500); Singh, Yudhvir (55415379500)","58879348500; 55415379500","Brain Tumor Detection- The Role of Machine Learning Techniques","2024","International Journal of Intelligent Systems and Applications in Engineering","12","14s","","473","478","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184696025&partnerID=40&md5=012fdca93a00ef3e32e0bb5bf1deb345","Brain tumor disease is a dreadful alarming disease worldwide. WHO is providing the guidelines to detect the disease at early stages to protect the life of the patients. To detect the brain tumor at early stages the computational capability should be highly sensitive and identify the slightest changes in brain regions. The research work has explored the previous research papers published in international journals from 2018 to 2023 and presented the fundamental concepts and advanced concepts involved in the brain tumor disease diagnosis. The research work has presented the insights and working mechanism behind the diagnosis of brain tumor diseases with the help of MRIs. The image processing is the main working principle in detecting the brain tumor with distinct grade. The research work has presented the AI based machine learning concepts and deep learning concepts in detecting the diseases. The research work has focused on the most accurately diagnosing deep learning algorithms with advanced options to distinguish the brain tumor of early stages. The results have been presented to support the final result and output of the research work. © 2024, Ismail Saritas. All rights reserved.","2-s2.0-85184696025"
"Mohsen F.; Al-Absi H.R.H.; Yousri N.A.; El Hajj N.; Shah Z.","Mohsen, Farida (57776044300); Al-Absi, Hamada R. H. (35434601400); Yousri, Noha A. (23981703800); El Hajj, Nady (25925846100); Shah, Zubair (56428700200)","57776044300; 35434601400; 23981703800; 25925846100; 56428700200","A scoping review of artificial intelligence-based methods for diabetes risk prediction","2023","npj Digital Medicine","6","1","197","","","","10.1038/s41746-023-00933-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174977122&doi=10.1038%2fs41746-023-00933-5&partnerID=40&md5=944a6d1a9868c992009f1f8fc0bd0bc9","The increasing prevalence of type 2 diabetes mellitus (T2DM) and its associated health complications highlight the need to develop predictive models for early diagnosis and intervention. While many artificial intelligence (AI) models for T2DM risk prediction have emerged, a comprehensive review of their advancements and challenges is currently lacking. This scoping review maps out the existing literature on AI-based models for T2DM prediction, adhering to the PRISMA extension for Scoping Reviews guidelines. A systematic search of longitudinal studies was conducted across four databases, including PubMed, Scopus, IEEE-Xplore, and Google Scholar. Forty studies that met our inclusion criteria were reviewed. Classical machine learning (ML) models dominated these studies, with electronic health records (EHR) being the predominant data modality, followed by multi-omics, while medical imaging was the least utilized. Most studies employed unimodal AI models, with only ten adopting multimodal approaches. Both unimodal and multimodal models showed promising results, with the latter being superior. Almost all studies performed internal validation, but only five conducted external validation. Most studies utilized the area under the curve (AUC) for discrimination measures. Notably, only five studies provided insights into the calibration of their models. Half of the studies used interpretability methods to identify key risk predictors revealed by their models. Although a minority highlighted novel risk predictors, the majority reported commonly known ones. Our review provides valuable insights into the current state and limitations of AI-based models for T2DM prediction and highlights the challenges associated with their development and clinical integration. © 2023, Springer Nature Limited.","2-s2.0-85174977122"
"Darvishi A.; Khosravi H.; Sadiq S.; Gašević D.; Siemens G.","Darvishi, Ali (57219052527); Khosravi, Hassan (27368031300); Sadiq, Shazia (7006420326); Gašević, Dragan (8549413500); Siemens, George (36844717000)","57219052527; 27368031300; 7006420326; 8549413500; 36844717000","Impact of AI assistance on student agency","2024","Computers and Education","210","","104967","","","","10.1016/j.compedu.2023.104967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180370849&doi=10.1016%2fj.compedu.2023.104967&partnerID=40&md5=973af043f2c6fa334ba90a2318191bf7","AI-powered learning technologies are increasingly being used to automate and scaffold learning activities (e.g., personalised reminders for completing tasks, automated real-time feedback for improving writing, or recommendations for when and what to study). While the prevailing view is that these technologies generally have a positive effect on student learning, their impact on students’ agency and ability to self-regulate their learning is under-explored. Do students learn from the regular, detailed and personalised feedback provided by AI systems, and will they continue to exhibit similar behaviour in the absence of assistance? Or do they instead continue to rely on AI assistance without learning from it? To contribute to filling this research gap, we conducted a randomised controlled experiment that explored the impact of AI assistance on student agency in the context of peer feedback. With 1625 students across 10 courses, an experiment was conducted using peer review. During the initial four-week period, students were guided by AI features that utilised techniques such as rule-based suggestion detection, semantic similarity, and comparison with previous comments made by the reviewer to enhance their submissions if the feedback provided was deemed insufficiently detailed or general in nature. Over the following four weeks, students were divided into four different groups: control (AI) received prompts, (NR) received no prompts, (SR) received self-monitoring checklists in place of AI prompts, and (SAI) had access to both AI prompts and self-monitoring checklists. Results of the experiment suggest that students tended to rely on rather than learn from AI assistance. If AI assistance was removed, self-regulated strategies could help fill the gap but were not as effective as AI assistance. Results also showed that hybrid human-AI approaches that complement AI assistance with self-regulated strategies (SAI) were not more effective than AI assistance on its own. We conclude by discussing the broader benefits, challenges and implications of relying on AI assistance in relation to student agency in a world where we learn, live and work with AI. © 2023 The Author(s)","2-s2.0-85180370849"
"Song Y.; He Y.","Song, Yang (58655829100); He, Yingwei (58656453300)","58655829100; 58656453300","Toward an intelligent tourism recommendation system based on artificial intelligence and IoT using Apriori algorithm","2023","Soft Computing","27","24","","19159","19177","18","10.1007/s00500-023-09330-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174488905&doi=10.1007%2fs00500-023-09330-2&partnerID=40&md5=01ec8197b48217642bd2ca3c8ad9fc49","In recent years, the rapid development of the Internet has promoted the continuous expansion of the scale of China’s tourism industry, and the amount of tourism data has surged. However, tourists need help bringing personal interest and high-value data from the plethora of tourism information. The rise of artificial intelligence has transformed traditional tourism into an intelligent, data-driven industry. This shift has generated vast tourism data, offering both opportunities and challenges. The paper discusses an AI and IoT-based Intelligent Tourism Recommendation System (ITRS) that offers travelers predefined itineraries, personalized suggestions, and tourism insights. This system simplifies attraction discovery, unveiling hidden value within tourism data at the intersection of AI and IoT. The present study thoroughly investigates AI-based recommendation algorithms before delving into the system’s architecture. It categorizes user-based, project-based, and article-based collaborative filtering methodologies tailored to specific goals. First, thoroughly examine AI-based recommendation algorithms before delving into the system architecture. Second, categorize collaborative filtering methods as user-based, project-based, and article-based, each tailored to specific objectives. Third, delve into the Apriori algorithm’s complexity within the context of weighted association rules and introduce an enhanced iteration for improved efficiency. The proposed scheme encompasses an elaborate ITRS plan featuring a user interest model and a client module, crucial for the computation and analysis of users’ long-term and short-term interests. Rigorous performance testing confirms the ITRS’s superiority across varying support levels, with experimental results demonstrating the Apriori algorithm’s exceptional accuracy, achieving a 94.3% improvement over other methods. The Apriori algorithm is better than traditional recommendation algorithms such as Linear Regression, Logistic Regression, Decision Trees, Random Forest, Support Vector Machines, K-nearest neighbor, Naive Bayes, and XGBoost. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","2-s2.0-85174488905"
"Guizzardi R.; Amaral G.; Guizzardi G.; Mylopoulos J.","Guizzardi, Renata (8544078300); Amaral, Glenda (57209454310); Guizzardi, Giancarlo (16028392500); Mylopoulos, John (7005652259)","8544078300; 57209454310; 16028392500; 7005652259","An ontology-based approach to engineering ethicality requirements","2023","Software and Systems Modeling","22","6","","1897","1923","26","10.1007/s10270-023-01115-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165614536&doi=10.1007%2fs10270-023-01115-3&partnerID=40&md5=73407cf7637d46aade5d516a6a1ffe5d","In a world where Artificial Intelligence (AI) is pervasive, humans may feel threatened or at risk by giving up control to machines. In this context, ethicality becomes a major concern to prevent AI systems from being biased, making mistakes, or going rogue. Requirements Engineering (RE) is the research area that can exert a great impact in the development of ethical systems by design. However, proposing concepts, tools and techniques that support the incorporation of ethicality into the software development processes as explicit requirements remains a great challenge in the RE field. In this paper, we rely on Ontology-based Requirements Engineering (ObRE) as a method to elicit and analyze ethicality requirements (‘Ethicality requirements’ is adopted as a name for the class of requirements studied in this paper by analogy to other quality requirements studied in software engineering, such as usability, reliability, and portability, etc. The use of this term (as opposed to ‘ethical requirements’) highlights that they represent requirements for ethical systems, analogous to how ‘trustworthiness requirements’ represent requirements for trustworthy systems. To put simply: the predicates ‘ethical’ or ‘trustworthy’ are not meant to be predicated over the requirements themselves). ObRE applies ontological analysis to ontologically unpack terms and notions that are referred to in requirements elicitation. Moreover, this method instantiates the adopted ontology and uses it to guide the requirements analysis activity. In a previous paper, we presented a solution concerning two ethical principles, namely Beneficence and Non-maleficence. The present paper extends the previous work by targeting two other important ethicality principles, those of Explicability and Autonomy. For each of these new principles, we do ontological unpacking of the relevant concepts, and we present requirements elicitation and analysis guidelines, as well as examples in the context of a driverless car case. Furthermore, we validate our approach by analysing the requirements elicitation made for the driverless car case in contrast with a similar case, and by assessing our method’s coverage w.r.t European Union guidelines for Trustworthy AI. © 2023, The Author(s).","2-s2.0-85165614536"
"Chakraborty T.; Wirth C.; Seifert C.","Chakraborty, Tanmay (58858516300); Wirth, Christian (57417028000); Seifert, Christin (8850014900)","58858516300; 57417028000; 8850014900","Post-hoc Rule Based Explanations for Black Box Bayesian Optimization","2024","Communications in Computer and Information Science","1947","","","320","337","17","10.1007/978-3-031-50396-2_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184124730&doi=10.1007%2f978-3-031-50396-2_18&partnerID=40&md5=2d67cbdaeece77199eff0c075098e6e3","Explainable Artificial Intelligence (XAI) aims to enhance transparency and trust in AI systems by providing insights into their decision-making processes. While there has been significant progress in developing explainability methods for AI, such advancements do not consider black-box optimization algorithms. In this paper, we present RX-BO (Rule based Explanations for Bayesian Optimization), a novel framework that brings explainability to black-box Bayesian optimization with a Gaussian process (GP) backbone. Leveraging the GP model’s approximation and uncertainty estimation capabilities, RX-BO extracts distribution-aware rules through a post-hoc rule based explainability method. These rules shed light on different regions of the posterior distribution, enabling transparent and trustworthy decision making. The framework incorporates a pairwise Mahalanobis distance-based hierarchical agglomerative clustering algorithm with Ward criterion for generating rule proposals. It also employs traditional metrics such as support, coverage, and confidence for selecting high-quality explanations. We evaluate RX-BO on an example optimization problem and six hyperparameter optimization tasks involving three machine learning models (classification and regression) across two datasets. The results demonstrate that RX-BO improves rule confidence and rule granularity control compared to decision trees and Rule based XAI frameworks. Furthermore, RX-BO introduces a novel approach by identifying interesting areas in the search space based on likelihood. This measure allows to rank explanations on how interesting they would be for an end user. Overall, RX-BO enhances the understanding and interpretability of black-box Bayesian optimization algorithm results, contributing to the broader field of XAI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","2-s2.0-85184124730"
"Coutinho R.W.L.; Boukerche A.","Coutinho, Rodolfo W.L. (36006352200); Boukerche, Azzedine (7005819374)","36006352200; 7005819374","When Smart Metaverse Meets Affective Computing: Opportunities and Design Guidelines","2023","IEEE Communications Magazine","61","10","","46","52","6","10.1109/MCOM.004.2300009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167776022&doi=10.1109%2fMCOM.004.2300009&partnerID=40&md5=c5e83a812b68b2000118b1f5d19ae530","Metaverse and affective computing are two promising areas. We envision a new generation of smart metaverse that will consider affective computing to develop artificial intelligence (AI)-empowered avatars capable of expressing emotions and enhancing interactions on users' metaverse sessions. This article advocates for the symbiotic design of affective computing and metaverse. We discuss some of the unique challenges faced during the design of metaverse and affective computing and the current research trends to overcome them. We highlight how affective computing can tackle unique challenges in metaverse applications and how metaverse can be considered to deal with limitations faced in affective computing applications. Finally, we present some future research directions in need of attention. © 1979-2012 IEEE.","2-s2.0-85167776022"
"Khan Mamun M.M.R.; Elfouly T.","Khan Mamun, Mohammad Mahbubur Rahman (57202498841); Elfouly, Tarek (57214653796)","57202498841; 57214653796","AI-Enabled Electrocardiogram Analysis for Disease Diagnosis","2023","Applied System Innovation","6","5","95","","","","10.3390/asi6050095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175001031&doi=10.3390%2fasi6050095&partnerID=40&md5=8fa822b59da0cb7ab649abd4175183ff","Contemporary methods used to interpret the electrocardiogram (ECG) signal for diagnosis or monitoring are based on expert knowledge and rule-centered algorithms. In recent years, with the advancement of artificial intelligence, more and more researchers are using deep learning (ML) and deep learning (DL) with ECG data to detect different types of cardiac issues as well as other health problems such as respiration rate, sleep apnea, and blood pressure, etc. This study presents an extensive literature review based on research performed in the last few years where ML and DL have been applied with ECG data for many diagnoses. However, the review found that, in published work, the results showed promise. However, some significant limitations kept that technique from implementation in reality and being used for medical decisions; examples of such limitations are imbalanced and the absence of standardized dataset for evaluation, lack of interpretability of the model, inconsistency of performance while using a new dataset, security, and privacy of health data and lack of collaboration with physicians, etc. AI using ECG data accompanied by modern wearable biosensor technologies has the potential to allow for health monitoring and early diagnosis within reach of larger populations. However, researchers should focus on resolving the limitations. © 2023 by the authors.","2-s2.0-85175001031"
"Ventura M.D.","Ventura, Michele Della (56564818300)","56564818300","A Deep Learning Algorithm for the Development of Meaningful Learning in the Harmonization of a Musical Melody","2024","Communications in Computer and Information Science","1979","","","3","12","9","10.1007/978-3-031-48981-5_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182518188&doi=10.1007%2f978-3-031-48981-5_1&partnerID=40&md5=42b787367242a6ef61539a12feecfeee","The interest of musicians and computer scientists in AI-based automatic melody harmonization has increased significantly in the last few years. This research area has attracted the attention of both teachers and students of Theory, Analysis and Composition, looking for support tools for the learning process. The main problem is that the systems designed and developed up to now harmonize a melody written by a user without considering the didactic and therefore cognitive aspects at the basis of a “significant learning”: given a melody, the system returns a harmonization finished without any user input. This paper describes a self-learning algorithm capable of harmonizing a musical melody, with the aim of supporting the student during the study of Theory, Analysis and Composition. The algorithm, on the basis of the ascending and descending movement of the sounds of the melody (soprano), proposes the sounds for the bass line: the Viterbi algorithm was applied to evaluate the probability of the best match between the melody sounds and the provided Markov chains, to reach the “optimal” state sequences. Subsequently, the algorithm allows the user to complete the chords for each sound of the bass line (tenor and alto), or to create the complete chords. Examples of musical fragments harmonized in this way demonstrate that the algorithm is able to respect the concatenation rules of the tonal functions which characterize classical tonal music. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","2-s2.0-85182518188"
"Nguyen M.-D.; Bouaziz A.; Valdes V.; Rosa Cavalli A.; Mallouli W.; Montes De Oca E.","Nguyen, Manh-Dung (57200513270); Bouaziz, Anis (58561553300); Valdes, Valeria (58561553400); Rosa Cavalli, Ana (58561751200); Mallouli, Wissam (14037829000); Montes De Oca, Edgardo (34976546300)","57200513270; 58561553300; 58561553400; 58561751200; 14037829000; 34976546300","A deep learning anomaly detection framework with explainability and robustness","2023","ACM International Conference Proceeding Series","","","134","","","","10.1145/3600160.3605052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169683137&doi=10.1145%2f3600160.3605052&partnerID=40&md5=e5d1426eb2ecaee71e72d1b139fcd738","The prevalence of encrypted Internet traffic has resulted in a pressing need for advanced analysis techniques for traffic analysis and classification. Traditional rule-based and signature-based approaches have been hindered by the introduction of network encryption methods. With the emergence of machine learning (ML) and deep learning (DL), several preliminary works have been developed for anomaly detection in encrypted network traffic. However, complex Artificial Intelligence (AI) models like neural networks lack explainability, limiting the understanding of their predictions. To address this limitation, eXplainable Artificial Intelligence (XAI) has emerged, aiming to provide users with a rationale for understanding AI system outputs and fostering trust. However, existing explainable frameworks still lack comprehensive support for adversarial attacks and defenses. In this paper, we present Montimage AI Platform (MAIP), a new GUI-based deep learning framework for malicious traffic detection and classification combined with its ability of explaining the decision of the model. We employ popular XAI methods to interpret the prediction of the developed deep learning model. Furthermore, we perform adversarial attacks to assess the accountability and robustness of our model via different quantifiable metrics. We perform extensive experiments with both public and private network traffic. The experimental results demonstrate that our model achieves high performance and robustness, and its outcomes align closely with the domain knowledge. © 2023 Owner/Author.","2-s2.0-85169683137"
