"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","EID"
"Dakheel A.O.; Singh Y.","Dakheel, Ahmed Obaid (58879348500); Singh, Yudhvir (55415379500)","58879348500; 55415379500","Brain Tumor Detection- The Role of Machine Learning Techniques","2024","International Journal of Intelligent Systems and Applications in Engineering","12","14s","","473","478","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184696025&partnerID=40&md5=012fdca93a00ef3e32e0bb5bf1deb345","Brain tumor disease is a dreadful alarming disease worldwide. WHO is providing the guidelines to detect the disease at early stages to protect the life of the patients. To detect the brain tumor at early stages the computational capability should be highly sensitive and identify the slightest changes in brain regions. The research work has explored the previous research papers published in international journals from 2018 to 2023 and presented the fundamental concepts and advanced concepts involved in the brain tumor disease diagnosis. The research work has presented the insights and working mechanism behind the diagnosis of brain tumor diseases with the help of MRIs. The image processing is the main working principle in detecting the brain tumor with distinct grade. The research work has presented the AI based machine learning concepts and deep learning concepts in detecting the diseases. The research work has focused on the most accurately diagnosing deep learning algorithms with advanced options to distinguish the brain tumor of early stages. The results have been presented to support the final result and output of the research work. © 2024, Ismail Saritas. All rights reserved.","2-s2.0-85184696025"
"Baughman D.J.; Botros P.A.; Waheed A.","Baughman, Derek J. (57202806607); Botros, Paul A. (58890482300); Waheed, Abdul (57188922742)","57202806607; 58890482300; 57188922742","Technology in Medicine: Improving Clinical Documentation","2024","FP essentials","537","","","26","38","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185240364&partnerID=40&md5=49d38c3a76596bd37807c38d72489ea1","The association between electronic health record (EHR) documentation and physician burnout is well-known. A combination of insufficient time to complete tasks, clinical documentation burden, and electronic inbox overload comprises the definition of documentation-related burnout. Burnout mitigation strategies related to clinical documentation include use of targeted EHR training for documentation, use of medical scribes, and institutional documentation redesign. Mitigation strategies related to electronic inbox overload include assigning designated administrative time for inbox management, tailoring of message content to decrease length, and a team-based approach to clinical workflows. Best practices for improving the efficiency of clinical documentation in the EHR include use of automation tools (eg, macros, templates), physician note optimization, and use of team-based documentation. Clinical documentation aids such as medical scribes, speech recognition software, and artificial intelligence (AI)-based software are popular and often considered a necessary resource in health care. For most practices, decisions regarding which aid to use will likely be determined by cost. Speech recognition software is the lowest cost option. AI-based software and medical scribes are more costly.","2-s2.0-85185240364"
"Abadir P.; Oh E.; Chellappa R.; Choudhry N.; Demiris G.; Ganesan D.; Karlawish J.; Marlin B.; Li R.M.; Dehak N.; Arbaje A.; Unberath M.; Cudjoe T.; Chute C.; Moore J.H.; Phan P.; Samus Q.; Schoenborn N.L.; Battle A.; Walston J.D.","Abadir, Peter (6506289374); Oh, Esther (36803663700); Chellappa, Rama (57203078416); Choudhry, Niteesh (6602730194); Demiris, George (6701805951); Ganesan, Deepak (10739214500); Karlawish, Jason (7005020709); Marlin, Benjamin (6506955008); Li, Rose M. (58292343300); Dehak, Najim (16202714800); Arbaje, Alicia (13807349900); Unberath, Mathias (56893868600); Cudjoe, Thomas (57212166027); Chute, Christopher (7006581202); Moore, Jason H. (7405241093); Phan, Phillip (6603833294); Samus, Quincy (6506932667); Schoenborn, Nancy L. (55552542700); Battle, Alexis (57216480836); Walston, Jeremy D. (7003712269)","6506289374; 36803663700; 57203078416; 6602730194; 6701805951; 10739214500; 7005020709; 6506955008; 58292343300; 16202714800; 13807349900; 56893868600; 57212166027; 7006581202; 7405241093; 6603833294; 6506932667; 55552542700; 57216480836; 7003712269","Artificial Intelligence and Technology Collaboratories: Innovating aging research and Alzheimer's care","2024","Alzheimer's and Dementia","","","","","","","10.1002/alz.13710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184415807&doi=10.1002%2falz.13710&partnerID=40&md5=1388a868b6f49f1dc76075b93ffd8850","This perspective outlines the Artificial Intelligence and Technology Collaboratories (AITC) at Johns Hopkins University, University of Pennsylvania, and University of Massachusetts, highlighting their roles in developing AI-based technologies for older adult care, particularly targeting Alzheimer's disease (AD). These National Institute on Aging (NIA) centers foster collaboration among clinicians, gerontologists, ethicists, business professionals, and engineers to create AI solutions. Key activities include identifying technology needs, stakeholder engagement, training, mentoring, data integration, and navigating ethical challenges. The objective is to apply these innovations effectively in real-world scenarios, including in rural settings. In addition, the AITC focuses on developing best practices for AI application in the care of older adults, facilitating pilot studies, and addressing ethical concerns related to technology development for older adults with cognitive impairment, with the ultimate aim of improving the lives of older adults and their caregivers. Highlights: Addressing the complex needs of older adults with Alzheimer's disease (AD) requires a comprehensive approach, integrating medical and social support. Current gaps in training, techniques, tools, and expertise hinder uniform access across communities and health care settings. Artificial intelligence (AI) and digital technologies hold promise in transforming care for this demographic. Yet, transitioning these innovations from concept to marketable products presents significant challenges, often stalling promising advancements in the developmental phase. The Artificial Intelligence and Technology Collaboratories (AITC) program, funded by the National Institute on Aging (NIA), presents a viable model. These Collaboratories foster the development and implementation of AI methods and technologies through projects aimed at improving care for older Americans, particularly those with AD, and promote the sharing of best practices in AI and technology integration. Why Does This Matter? The National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITC) program's mission is to accelerate the adoption of artificial intelligence (AI) and new technologies for the betterment of older adults, especially those with dementia. By bridging scientific and technological expertise, fostering clinical and industry partnerships, and enhancing the sharing of best practices, this program can significantly improve the health and quality of life for older adults with Alzheimer's disease (AD). © 2024 The Authors. Alzheimer's & Dementia published by Wiley Periodicals LLC on behalf of Alzheimer's Association.","2-s2.0-85184415807"
"Yaneva V.; Baldwin P.; Jurich D.P.; Swygert K.; Clauser B.E.","Yaneva, Victoria (57003253500); Baldwin, Peter (34867881100); Jurich, Daniel P. (57207697572); Swygert, Kimberly (7801507840); Clauser, Brian E. (7003595460)","57003253500; 34867881100; 57207697572; 7801507840; 7003595460","Examining ChatGPT Performance on USMLE Sample Items and Implications for Assessment","2024","Academic Medicine","99","2","","192","197","5","10.1097/ACM.0000000000005549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184144869&doi=10.1097%2fACM.0000000000005549&partnerID=40&md5=6ff5e62c6db9013be6e1e5a306af3ae6","Purpose In late 2022 and early 2023, reports that ChatGPT could pass the United States Medical Licensing Examination (USMLE) generated considerable excitement, and media response suggested ChatGPT has credible medical knowledge. This report analyzes the extent to which an artificial intelligence (AI) agent's performance on these sample items can generalize to performance on an actual USMLE examination and an illustration is given using ChatGPT. Method As with earlier investigations, analyses were based on publicly available USMLE sample items. Each item was submitted to ChatGPT (version 3.5) 3 times to evaluate stability. Responses were scored following rules that match operational practice, and a preliminary analysis explored the characteristics of items that ChatGPT answered correctly. The study was conducted between February and March 2023. Results For the full sample of items, ChatGPT scored above 60% correct except for one replication for Step 3. Response success varied across replications for 76 items (20%). There was a modest correspondence with item difficulty wherein ChatGPT was more likely to respond correctly to items found easier by examinees. ChatGPT performed significantly worse (P <.001) on items relating to practice-based learning. Conclusions Achieving 60% accuracy is an approximate indicator of meeting the passing standard, requiring statistical adjustments for comparison. Hence, this assessment can only suggest consistency with the passing standards for Steps 1 and 2 Clinical Knowledge, with further limitations in extrapolating this inference to Step 3. These limitations are due to variances in item difficulty and exclusion of the simulation component of Step 3 from the evaluation - limitations that would apply to any AI system evaluated on the Step 3 sample items. It is crucial to note that responses from large language models exhibit notable variations when faced with repeated inquiries, underscoring the need for expert validation to ensure their utility as a learning tool.  © Lippincott Williams & Wilkins.","2-s2.0-85184144869"
"Velasquez Garcia A.; Bukowiec L.G.; Yang L.; Nishikawa H.; Fitzsimmons J.S.; Larson A.N.; Taunton M.J.; Sanchez-Sotelo J.; O’Driscoll S.W.; Wyles C.C.","Velasquez Garcia, Ausberto (57204420283); Bukowiec, Lainey G. (57226863360); Yang, Linjun (57217297528); Nishikawa, Hiroki (55372455600); Fitzsimmons, James S. (7005926795); Larson, A. Noelle (15725614600); Taunton, Michael J. (25226030800); Sanchez-Sotelo, Joaquin (7004579240); O’Driscoll, Shawn W. (35547687700); Wyles, Cody C. (55618837400)","57204420283; 57226863360; 57217297528; 55372455600; 7005926795; 15725614600; 25226030800; 7004579240; 35547687700; 55618837400","Artificial intelligence–based three-dimensional templating for total joint arthroplasty planning: a scoping review","2024","International Orthopaedics","","","","","","","10.1007/s00264-024-06088-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182492707&doi=10.1007%2fs00264-024-06088-6&partnerID=40&md5=59315184122ef9b2ba531df69b6e69c3","Purpose: The purpose of this review is to evaluate the current status of research on the application of artificial intelligence (AI)–based three-dimensional (3D) templating in preoperative planning of total joint arthroplasty. Methods: This scoping review followed the PRISMA, PRISMA-ScR guidelines, and five stage methodological framework for scoping reviews. Studies of patients undergoing primary or revision joint arthroplasty surgery that utilised AI-based 3D templating for surgical planning were included. Outcome measures included dataset and model development characteristics, AI performance metrics, and time performance. After AI-based 3D planning, the accuracy of component size and placement estimation and postoperative outcome data were collected. Results: Nine studies satisfied inclusion criteria including a focus on computed tomography (CT) or magnetic resonance imaging (MRI)–based AI templating for use in hip or knee arthroplasty. AI-based 3D templating systems reduced surgical planning time and improved implant size/position and imaging feature estimation compared to conventional radiographic templating. Several components of data processing and model development and testing were insufficiently covered in the studies included in this scoping review. Conclusions: AI-based 3D templating systems have the potential to improve preoperative planning for joint arthroplasty surgery. This technology offers more accurate and personalized preoperative planning, which has potential to improve functional outcomes for patients. However, deficiencies in several key areas, including data handling, model development, and testing, can potentially hinder the reproducibility and reliability of the methods proposed. As such, further research is needed to definitively evaluate the efficacy and feasibility of these systems. © 2024, The Author(s) under exclusive licence to SICOT aisbl.","2-s2.0-85182492707"
"Darvishi A.; Khosravi H.; Sadiq S.; Gašević D.; Siemens G.","Darvishi, Ali (57219052527); Khosravi, Hassan (27368031300); Sadiq, Shazia (7006420326); Gašević, Dragan (8549413500); Siemens, George (36844717000)","57219052527; 27368031300; 7006420326; 8549413500; 36844717000","Impact of AI assistance on student agency","2024","Computers and Education","210","","104967","","","","10.1016/j.compedu.2023.104967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180370849&doi=10.1016%2fj.compedu.2023.104967&partnerID=40&md5=973af043f2c6fa334ba90a2318191bf7","AI-powered learning technologies are increasingly being used to automate and scaffold learning activities (e.g., personalised reminders for completing tasks, automated real-time feedback for improving writing, or recommendations for when and what to study). While the prevailing view is that these technologies generally have a positive effect on student learning, their impact on students’ agency and ability to self-regulate their learning is under-explored. Do students learn from the regular, detailed and personalised feedback provided by AI systems, and will they continue to exhibit similar behaviour in the absence of assistance? Or do they instead continue to rely on AI assistance without learning from it? To contribute to filling this research gap, we conducted a randomised controlled experiment that explored the impact of AI assistance on student agency in the context of peer feedback. With 1625 students across 10 courses, an experiment was conducted using peer review. During the initial four-week period, students were guided by AI features that utilised techniques such as rule-based suggestion detection, semantic similarity, and comparison with previous comments made by the reviewer to enhance their submissions if the feedback provided was deemed insufficiently detailed or general in nature. Over the following four weeks, students were divided into four different groups: control (AI) received prompts, (NR) received no prompts, (SR) received self-monitoring checklists in place of AI prompts, and (SAI) had access to both AI prompts and self-monitoring checklists. Results of the experiment suggest that students tended to rely on rather than learn from AI assistance. If AI assistance was removed, self-regulated strategies could help fill the gap but were not as effective as AI assistance. Results also showed that hybrid human-AI approaches that complement AI assistance with self-regulated strategies (SAI) were not more effective than AI assistance on its own. We conclude by discussing the broader benefits, challenges and implications of relying on AI assistance in relation to student agency in a world where we learn, live and work with AI. © 2023 The Author(s)","2-s2.0-85180370849"
"Dickinson H.; Teltsch D.Y.; Feifel J.; Hunt P.; Vallejo-Yagüe E.; Virkud A.V.; Muylle K.M.; Ochi T.; Donneyong M.; Zabinski J.; Strauss V.Y.; Hincapie-Castillo J.M.","Dickinson, Harriet (58540912400); Teltsch, Dana Y. (12763598900); Feifel, Jan (57193853939); Hunt, Philip (58718594100); Vallejo-Yagüe, Enriqueta (57217144892); Virkud, Arti V. (57188991687); Muylle, Katoo M. (57211021670); Ochi, Taichi (57210861380); Donneyong, Macarius (55849586400); Zabinski, Joseph (57377838500); Strauss, Victoria Y. (55427619500); Hincapie-Castillo, Juan M. (56205625300)","58540912400; 12763598900; 57193853939; 58718594100; 57217144892; 57188991687; 57211021670; 57210861380; 55849586400; 57377838500; 55427619500; 56205625300","The Unseen Hand: AI-Based Prescribing Decision Support Tools and the Evaluation of Drug Safety and Effectiveness","2024","Drug Safety","47","2","","117","123","6","10.1007/s40264-023-01376-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177735279&doi=10.1007%2fs40264-023-01376-3&partnerID=40&md5=b1278d198cf495df3bbf2952b7fc0fa2","The use of artificial intelligence (AI)-based tools to guide prescribing decisions is full of promise and may enhance patient outcomes. These tools can perform actions such as choosing the ‘safest’ medication, choosing between competing medications, promoting de-prescribing or even predicting non-adherence. These tools can exist in a variety of formats; for example, they may be directly integrated into electronic medical records or they may exist in a stand-alone website accessible by a web browser. One potential impact of these tools is that they could manipulate our understanding of the benefit-risk of medicines in the real world. Currently, the benefit risk of approved medications is assessed according to carefully planned agreements covering spontaneous reporting systems and planned surveillance studies. But AI-based tools may limit or even block prescription to high-risk patients or prevent off-label use. The uptake and temporal availability of these tools may be uneven across healthcare systems and geographies, creating artefacts in data that are difficult to account for. It is also hard to estimate the ‘true impact’ that a tool had on a prescribing decision. International borders may also be highly porous to these tools, especially in cases where tools are available over the web. These tools already exist, and their use is likely to increase in the coming years. How they can be accounted for in benefit-risk decisions is yet to be seen. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","2-s2.0-85177735279"
"Wang X.; Lin C.; Yang S.; Chen J.; Liu B.; Chipusu K.","Wang, Xinghe (58866085500); Lin, Chaoquan (58866314300); Yang, Shuo (58866314400); Chen, Jiabin (57212352219); Liu, Bihua (58865868100); Chipusu, Kavimbi (58865868200)","58866085500; 58866314300; 58866314400; 57212352219; 58865868100; 58865868200","A deep learning approach for balance optimisation of patch panel assembly line","2024","Journal of Engineering Design","","","","","","","10.1080/09544828.2024.2309861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184206002&doi=10.1080%2f09544828.2024.2309861&partnerID=40&md5=aade23b95f9d8a53f0ecd31b1777766f","This paper introduces an integrated methodology to enhance the efficiency of patch panel assembly lines by harnessing advanced artificial intelligence (AI) techniques. The primary objective is to minimise the total completion time of patch panels, a pivotal metric for manufacturing efficiency. The study employs the Assembly Line Production Optimisation (ALPO) model to analyze and enhance the production capacity of the bottleneck station. Existing challenges related to patch panel assembly line task distribution, process content, and tooling layout are scrutinised against production process standards for operational measurements. To achieve improvement, Deep Neural Network (DNN) and Recurrent Neural Network (RNN) models are employed in hidden layers, supplemented by deep feed-forward (DFF) layers for output, in adherence to engineering design principles. The bottleneck station's load rate is successfully reduced to below 80%, contributing to an overall balance rate increase from 73% to 88%. These outcomes signify a notable enhancement in production efficiency and employee satisfaction. The research utilises a dataset derived from the Microsoft Azure AI-based PdM dataset. The paper illustrates how AI techniques offer a comprehensive solution to address the inherent complexities in patch panel assembly line optimisation. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","2-s2.0-85184206002"
"Chakraborty T.; Wirth C.; Seifert C.","Chakraborty, Tanmay (58858516300); Wirth, Christian (57417028000); Seifert, Christin (8850014900)","58858516300; 57417028000; 8850014900","Post-hoc Rule Based Explanations for Black Box Bayesian Optimization","2024","Communications in Computer and Information Science","1947","","","320","337","17","10.1007/978-3-031-50396-2_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184124730&doi=10.1007%2f978-3-031-50396-2_18&partnerID=40&md5=2d67cbdaeece77199eff0c075098e6e3","Explainable Artificial Intelligence (XAI) aims to enhance transparency and trust in AI systems by providing insights into their decision-making processes. While there has been significant progress in developing explainability methods for AI, such advancements do not consider black-box optimization algorithms. In this paper, we present RX-BO (Rule based Explanations for Bayesian Optimization), a novel framework that brings explainability to black-box Bayesian optimization with a Gaussian process (GP) backbone. Leveraging the GP model’s approximation and uncertainty estimation capabilities, RX-BO extracts distribution-aware rules through a post-hoc rule based explainability method. These rules shed light on different regions of the posterior distribution, enabling transparent and trustworthy decision making. The framework incorporates a pairwise Mahalanobis distance-based hierarchical agglomerative clustering algorithm with Ward criterion for generating rule proposals. It also employs traditional metrics such as support, coverage, and confidence for selecting high-quality explanations. We evaluate RX-BO on an example optimization problem and six hyperparameter optimization tasks involving three machine learning models (classification and regression) across two datasets. The results demonstrate that RX-BO improves rule confidence and rule granularity control compared to decision trees and Rule based XAI frameworks. Furthermore, RX-BO introduces a novel approach by identifying interesting areas in the search space based on likelihood. This measure allows to rank explanations on how interesting they would be for an end user. Overall, RX-BO enhances the understanding and interpretability of black-box Bayesian optimization algorithm results, contributing to the broader field of XAI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","2-s2.0-85184124730"
"Udebhulu O.D.; Aladeitan Y.; Azevedo R.C.; De Tomi G.","Udebhulu, Okhiria D. (57209532948); Aladeitan, Yetunde (57200970062); Azevedo, Ricardo C. (58576353900); De Tomi, Giorgio (54974353500)","57209532948; 57200970062; 58576353900; 54974353500","A review of cement sheath integrity evaluation techniques for carbon dioxide storage","2024","Journal of Petroleum Exploration and Production Technology","14","1","","1","23","22","10.1007/s13202-023-01697-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171187511&doi=10.1007%2fs13202-023-01697-0&partnerID=40&md5=15eb4dfc864e8ae32fa14976773bf74c","Cement sheath integrity is a critical concern in the successful implementation of geologic carbon capture and storage (CCS) projects. Conventional ordinary Portland cement (OPC) is not thermodynamically compatible with the carbon dioxide (CO2) present in CO2 storage media. When OPC cement sheaths interact with aqueous CO2, they undergo degradation, producing calcium bicarbonate. This bicarbonate readily dissolves in the formation aquifer and can create leakage pathways, compromising the integrity of the wellbores. This study comprehensively reviews the state-of-the-art techniques for evaluating cement sheath integrity, providing a comprehensive compendium of available methods in a single article. The paper’s objective is to support the deployment of successful CCS projects, facilitate the remediation of affected wellbores in CO2 storage systems, and offer guidelines for evaluating improved cement slurry designs and formulations. Additionally, the study identifies the factors that influence cement sheath integrity when exposed to aqueous CO2, including in-situ temperature and pressure, reservoir fluid characteristics, cement slurry formulations, and wellbore operations. Furthermore, various modes of mechanical failure in cement sheaths are identified, such as radial cracking, plastic deformation, inner and outer debonding, and channeling. Understanding these failure mechanisms is crucial for designing robust cementing strategies in CCS applications. Evaluation techniques for assessing the integrity of cement sheaths exposed to aqueous CO2 encompass a range of approaches. These include direct experimentation with samples that mimic the in -situ conditions of storage sites, well logging for monitoring leakages, analytical, numerical, and statistical modeling, and risk assessments. Direct experimentation plays a vital role in understanding the carbonation kinetics and changes in cement sheaths' mechanical and transport properties. Techniques such as scanning electron microscopy, back-scattered electron image detectors, energy-dispersive spectroscopy, mercury intrusion porosimetry, optical microscopy, X-ray diffraction, electrical resistivity imaging, electron probe microanalyzers, inductivity-coupled plasma optical emission spectrometry, X-ray computed microtomography, Raman spectroscopy, direct image correlation, and particle velocimetry are utilized for direct experimentation. Analytical and numerical modeling approaches include reactive transport modeling, multi-scale modeling, computational fluid dynamics (CFD), and artificial intelligence (AI)-based modeling. In field operations, the integrity of the cement sheaths can be evaluated using cement bond evaluation tools, pressure transient test tools, cement coring tools, or sustained casing pressure analysis. These techniques collectively enable a comprehensive assessment of the integrity of cement sheath exposed to aqueous CO2, aiding in optimizing and monitoring carbon storage systems. Every CO2 storage medium is unique. Optimal assessment of the cement sheaths' integrity of its wellbore systems, when exposed to aqueous CO2, would require a different combination of suitable evaluation techniques. Future studies should focus on developing standardized guidelines that combine laboratory testing, field-scale testing, and numerical modeling to predict the evolution of cement sheath integrity when exposed to aqueous CO2. Additional research is necessary to determine the optimal combinations of cement additives that enhance long-term resilience and resistance to carbonic acid attacks, enabling successful geologic sequestration. Furthermore, there are ample research opportunities to advance numerical modeling techniques for evaluating the effects of aqueous CO2 on cement sheath integrity and identifying potential failure mechanisms. © The Author(s) 2023.","2-s2.0-85171187511"
